First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"University of Fribourg, Switzerland E-mail: elisabeth.dutton@unifr.ch","Dutton, Elisabeth",unifr,10.1093/english/efs008,https://doi.org/10.1093/english/efs008,http://doc.rero.ch/record/297599/files/efs008.pdf,The Oxford Handbook of Tudor Literature 1485–1603,,"Dutton, Elisabeth",2012,English,"University of Fribourg, Switzerland E-mail: elisabeth.dutton@unifr.ch",Oxford University Press,,61,232,102,105,0013-8215,1756-1124,copyright,"© The Author 2012. Published by Oxford University Press on behalf of the English Association; all rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093englishefs008,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093englishefs008&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093englishefs008&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093englishefs008&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Psychology, Industrial Psychology and Human Factors Group, University of Fribourg, Rue P.A. de Faucigny 2, Fribourg, Switzerland Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;","Manser, Tanja",unifr,10.1093/intqhc/mzs076,https://doi.org/10.1093/intqhc/mzs076,http://doc.rero.ch/record/300075/files/mzs076.pdf,Human factors in clinical handover: development and testing of a ‘handover performance tool’ for doctors' shift handovers,,"Pezzolesi, Cinzia;Manser, Tanja;Schifano, Fabrizio;Kostrzewski, Andrzej;Pickles, John;Harriet, Nicholls;Warren, Iain;Dhillon, Soraya",2013,International Journal for Quality in Health Care,"School of Pharmacy, University of Hertfordshire, College Lane, Hatfield, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;Department of Psychology, Industrial Psychology and Human Factors Group, University of Fribourg, Rue P.A. de Faucigny 2, Fribourg, Switzerland Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;School of Pharmacy, University of Hertfordshire, College Lane, Hatfield, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;School of Pharmacy, University of Hertfordshire, College Lane, Hatfield, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;Luton and Dunstable Hospital, Lewsley Road, Luton, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;Luton and Dunstable Hospital, Lewsley Road, Luton, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;Luton and Dunstable Hospital, Lewsley Road, Luton, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;;School of Pharmacy, University of Hertfordshire, College Lane, Hatfield, UK Address reprint requests to: Cinzia Pezzolesi, University of Hertfordshire, School of Pharmacy, Hillside House, College Lane Campus, Hatfield AL10 9BS, UK. Tel: +44-170-728-3548; Fax: +44-170-728-4506;",Oxford University Press,,25,1,58,65,1353-4505,1464-3677,copyright,© The Author 2012. Published by Oxford University Press in association with the International Society for Quality in Health Care; all rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093intqhcmzs076,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intqhcmzs076&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intqhcmzs076&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intqhcmzs076&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Zoologie, Université de Fribourg Pérolles, CH-1700, Fribourg, Switzerland","Viette, Michèle",unifr,10.1006/jmsc.1996.0185,https://doi.org/10.1006/jmsc.1996.0185,http://doc.rero.ch/record/303294/files/54-2-267.pdf,"Reproductive biology of scad, Trachurus mediterraneus (Teleostei, Carangidae), from the Gulf of Trieste",,"Viette, Michèle;Giulianini, Piero Giulio;Ferrero, Enrico Antonio",1997,ICES Journal of Marine Science,"Institut de Zoologie, Université de Fribourg Pérolles, CH-1700, Fribourg, Switzerland;Dipartimento di Biologia, Université di Trieste Via L. Giorgieri 7, I-34127, Trieste, Italy;Dipartimento di Biologia, Université di Trieste Via L. Giorgieri 7, I-34127, Trieste, Italy",Oxford University Press,,54,2,267,272,1054-3139,1095-9289,copyright,© 1997 International council for the Exploration of the Sea,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101006jmsc19960185,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101006jmsc19960185&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101006jmsc19960185&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101006jmsc19960185&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Département de Géosciences, Géologie et Paléontologie, Université de Fribourg, Chemin du Musée, 1700 Fribourg, Switzerland","Caron, Michèle",unifr,10.1017/S0016756814000478,https://doi.org/10.1017/S0016756814000478,http://doc.rero.ch/record/289505/files/S0016756814000478.pdf,"Remarks on the identification of the Albian/Cenomanian boundary and taxonomic clarification of the planktonic foraminifera index species globotruncanoides, brotzeni and tehamaensis",,"Petrizzo, Maria Rose;Caron, Michèle;Premoli Silva, Isabella",2015,Geological Magazine,"Dipartimento di Scienze della Terra ‘A. Desio’, Università degli Studi di Milano, via Mangiagalli 34, I-20133 Milano, Italy E-mail: mrose.petrizzo@unimi.it;Département de Géosciences, Géologie et Paléontologie, Université de Fribourg, Chemin du Musée, 1700 Fribourg, Switzerland;Dipartimento di Scienze della Terra ‘A. Desio’, Università degli Studi di Milano, via Mangiagalli 34, I-20133 Milano, Italy",Cambridge University Press,2020-05-01,152,3,521,536,0016-7568,1469-5081,copyright,Copyright © Cambridge University Press 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0016756814000478,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0016756814000478&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0016756814000478&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0016756814000478&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Université de Fribourg, Institut des Sciences de l’Antiquité et du Monde Byzantin, Rue Pierre-Aeby 16, 1700 Fribourg, Schweiz E-mail: ludovic.bender@unifr.ch","Bender, Ludovic",unifr,10.1515/bz-2012-0002,https://doi.org/10.1515/bz-2012-0002,http://doc.rero.ch/record/290026/files/bz-2012-0002.pdf,Regards sur Sainte-Sophie (fin XVIIe – début XIXe Siècle): prémices d’une histoire de l’architecture byzantine,,"Bender, Ludovic",2012,Byzantinische Zeitschrift,"Université de Fribourg, Institut des Sciences de l’Antiquité et du Monde Byzantin, Rue Pierre-Aeby 16, 1700 Fribourg, Schweiz E-mail: ludovic.bender@unifr.ch",De Gruyter,,105,1,1,28,0007-7704,1864-449X,copyright,© 2012 by Walter de Gruyter GmbH & Co.,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bz20120002,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20120002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20120002&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bz20120002&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: sebastian.muth@unifr.ch,"Muth, Sebastian",unifr,10.1515/ijsl-2014-0004,https://doi.org/10.1515/ijsl-2014-0004,http://doc.rero.ch/record/297564/files/ijsl-2014-0004.pdf,Informal signs as expressions of multilingualism in Chisinau: how individuals shape the public space of a post-Soviet capital,,"Muth, Sebastian",2014,International Journal of the Sociology of Language,University of Fribourg E-mail: sebastian.muth@unifr.ch,De Gruyter Mouton,,2014,228,29,53,0165-2516,1613-3668,copyright,©2014 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ijsl20140004,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijsl20140004&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijsl20140004&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ijsl20140004&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Switzerland E-mail: ralph.mueller@unifr.ch","Müller, Ralf",unifr,10.1515/humor-2013-0057,https://doi.org/10.1515/humor-2013-0057,http://doc.rero.ch/record/295610/files/humor-2013-0057.pdf,Book Review,,"Müller, Ralf",2014,HUMOR,"University of Fribourg, Switzerland E-mail: ralph.mueller@unifr.ch",De Gruyter Mouton,,27,1,177,179,0933-1719,1613-3722,copyright,©2014 by Walter de Gruyter Berlin/Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515humor20130057,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20130057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20130057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515humor20130057&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: philipp.mueller@unifr.ch philipp.mueller@unifr.ch,"Müller, Philipp",unifr,10.1093/gerhis/ghv035,https://doi.org/10.1093/gerhis/ghv035,http://doc.rero.ch/record/295000/files/ghv035.pdf,Romantik und Freiheit: Wechselspiele zwischen Ästhetik und Politik,,"Müller, Philipp",2015,German History,University of Fribourg E-mail: philipp.mueller@unifr.ch philipp.mueller@unifr.ch,Oxford University Press,2018-09-01,33,3,478,479,0266-3554,1477-089X,copyright,© The Author 2015. Published by Oxford University Press on behalf of the German History Society. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093gerhisghv035,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisghv035&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisghv035&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093gerhisghv035&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Rehder, Robert",unifr,10.1093/res/XLV.180.618-b,https://doi.org/10.1093/res/XLV.180.618-b,http://doc.rero.ch/record/299910/files/XLV-180-618b.pdf,SHORT NOTICES,,"Rehder, Robert",1994,The Review of English Studies,University of Fribourg,Oxford University Press,,XLV,180,618-b,619,0034-6551,1471-6968,copyright,© Oxford University Press 1994,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093resXLV180618b,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLV180618b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLV180618b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLV180618b&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Professor of Public International Law and European Law, University of Fribourg (Switzerland). This is a revised version of a conference presented on 7 September 2006 at the MAS in Children's Rights, University of Fribourg (Switzerland)","Besson, Samantha",unifr,10.1093/lawfam/ebm003,https://doi.org/10.1093/lawfam/ebm003,http://doc.rero.ch/record/302104/files/ebm003.pdf,Enforcing the Child's Right to Know Her Origins: Contrasting Approaches Under the Convention on the Rights of the Child and the European Convention on Human Rights,,"Besson, Samantha",2007,"International Journal of Law, Policy and the Family","Professor of Public International Law and European Law, University of Fribourg (Switzerland). This is a revised version of a conference presented on 7 September 2006 at the MAS in Children's Rights, University of Fribourg (Switzerland)",Oxford University Press,,21,2,137,159,1360-9939,1464-3707,copyright,"International Journal of Law, Policy and the Family, © The Author [2007]. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093lawfamebm003,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093lawfamebm003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093lawfamebm003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093lawfamebm003&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg E-mail: elisabeth.dutton@unifr.ch,"Dutton, Elisabeth",unifr,10.1093/ahr/120.4.1545,https://doi.org/10.1093/ahr/120.4.1545,http://doc.rero.ch/record/297609/files/zah1545.pdf,Claire Sponsler. The Queen’s Dumbshows: John Lydgate and the Making of Early Theater.,,"Dutton, Elisabeth",2015,The American Historical Review,University of Fribourg E-mail: elisabeth.dutton@unifr.ch,Oxford University Press,2018-10-01,120,4,1545,1546,0002-8762,1937-5239,copyright,© 2015 American Historical Association. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ahr12041545,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ahr12041545&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ahr12041545&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ahr12041545&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institut de Géologie, Université de Fribourg, Pérolles, 1700 Fribourg, Switzerland","Delamette, M.",unifr,10.1017/S0022336000030407,https://doi.org/10.1017/S0022336000030407,http://doc.rero.ch/record/290018/files/S0022336000030407.pdf,"Cenomanian ammonites from the condensed deposits of the Helvetic Domain (western Alps, France and Switzerland)",,"Delamette, M.;Kennedy, W. J.",1991,Journal of Paleontology,"Institut de Géologie, Université de Fribourg, Pérolles, 1700 Fribourg, Switzerland;Geological Collections, University Museum, Parks Road, Oxford OX1 3PR, United Kingdom",Cambridge University Press,,65,3,435,465,0022-3360,1937-2337,copyright,Copyright © The Paleontological Society ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0022336000030407,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022336000030407&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022336000030407&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022336000030407&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
